95053	हवाई जहाज मोड ऑन है	Flight mode is on and	Hindi	50	Mobile
95054	   लेट	   late	Hindi	40	General
95055	  नया इवेंट	  New event	Hindi	50	Mobile
95056	आप एकाधिक श्रेणियों के सेट का चयन नहीं कर सकते	  you can't select multiple sets categories	Hindi	40	General
95057	(प्रति टिकट 500/- रुपये, वापसी यात्रा)	 (rs 500/- per ticket, return journey)	Hindi	40	General
95058	ईस्क्वायर के वीडो द्वारा <n1> वर्षीय अभिनेत्री <Br1> को जीवित सबसे सेक्सी महिला घोषित किया गया है	 <Br1>, <n1> Yr Old actress declared Sexiest Alive by Esquire's Vidoe	Hindi	40	General
95059	क्या इसके नवीकरण पर कोई शुल्क लगता है?	 Are there any charges on renewal of cycle?	Hindi	40	General
95060	क्या कोई अप्रत्यक्ष शुल्क भी लगता है?	 Are there any hidden charges?	Hindi	40	General
95061	क्या कोई प्री-क्लोजर शुल्क भी हैं? 	 Are there any pre-closure charges?	Hindi	40	General
95062	चयनित हटाएं	 clear selaction	Hindi	40	General
95063	अनावश्यक रूप से रेफरल क्रेडिट हासिल करने के लिए एक ही उपयोगकर्ता द्वारा डुप्लीकेट ईमेल बनाना, कई डिवाइस से साइन-इन करना, एक ही डिवाइस से मल्टिपल साइन-इन करना और एक से अधिक मायवॉलेट अकाउंट रखना अनुचित है और हम ऐसे कोड का भुगतान नहीं करेंगे	 creating duplicate emails, signing-in from multiple devices, multiple sign-ins from a device and having more than one mywallet account per user in order to unduly gain referral credits is not appropriate and we will not honor such codes	Hindi	40	General
95064	आपके सेवा आपरेटर का विवरण	 Details with your Service Operator	Hindi	50	Mobile
95065	शनि शिंगणापुर के बारे में देवेंद्र फणनवीस	 Fadnavis on Shani Shingnapur	Hindi	40	General
95066	 11 अप्रैल से, 11 AM से 7 PM तक	 from 11th apr, 11 am till 7 pm	Hindi	40	General
95067	उनकी प्रतिभा से अंतरराष्ट्रीय दर्शक भी मंत्रमुग्ध हुए	 His genius had mesmerized the international audience as well	Hindi	50	General
95068	7. मुझे किस्तों का भुगतान कैसे करना होगा?	 How do I pay the installments?	Hindi	40	General
95069	4. ऋण मंजूर होने में कितना समय लगता है?	 How much time does it take to sanction the loan?	Hindi	40	General
95070	12. मेरी जानकारी कितनी सुरक्षित है?	 How secure is my information?	Hindi	40	General